,male,mostly_male,neutral,mostly_female,female
JavaScript,67.8,4.5,25.1,0.9,1.7
Python,64.3,4.2,28.8,0.8,1.9
Ruby,70.8,5.9,20.4,1.1,1.8
PHP,65.2,4.3,28.1,1.0,1.5
Java,58.0,3.2,37.0,0.7,1.2
Objective-C,61.5,5.1,31.0,0.7,1.7
C,56.8,3.5,37.8,0.7,1.2
C++,55.6,3.2,38.4,1.2,1.5
Shell,62.3,4.8,30.5,0.7,1.8
C#,65.5,4.2,28.8,0.8,0.7
Go,61.2,3.2,31.7,1.5,2.4
Perl,62.2,3.5,30.7,1.3,2.4
Clojure,74.0,6.9,14.8,1.7,2.6
Scala,71.7,3.0,22.6,1.1,1.5
Haskell,72.2,3.8,21.6,1.6,0.8
Erlang,74.6,3.2,21.3,0.3,0.6
R,64.4,4.9,24.6,0.7,5.5
